,Country,Cardio Death Rate,Diabetes Percentage,Obesity,Undernourished,PopMale,PopFemale,PopTotal,Total Population
81,Equatorial Guinea,0.20281206104937302,7.78,,,0.31453219880499883,0.36667153398791424,0.6812037327929131,1355.982
82,Eritrea,0.3111095381787924,6.05,,,0.623685166953236,0.8444956231089781,1.468180790062214,3497.117
83,Estonia,0.25556930328316346,4.02,23.8,2.9,2.877458512773743,7.0328571137608815,9.910315626534626,1325.6490000000001
84,Ethiopia,0.1826344308509356,7.47,3.6,20.6,0.5171846750186591,0.6129637785768214,1.1301484535954802,112078.727
90,Faeroe Islands,,,,,,,,
91,Fiji,0.4128204195817586,14.49,30.0,3.7,0.6116039575034693,0.8876853324044472,1.4992892899079169,889.955
92,Finland,0.1535066471783443,5.76,24.9,1.0,3.672436023621158,5.6701551781140065,9.342591201735164,5532.159
94,France,0.08606042892794041,4.77,23.2,1.0,3.6538996299554807,5.735142680076477,9.389042310031959,65129.73100000001
95,French Guiana,,,,,0.637845012258315,0.9118948638862809,1.5497398761445962,290.82300000000004
96,French Polynesia,,22.63,,4.2,1.438673756198865,1.7451707037613915,3.1838444599602562,279.2849999999999
97,Gabon,0.25996669198552064,7.2,13.4,10.5,0.46396493014289936,0.7183631611845466,1.1823280913274459,2172.5780000000004
98,Gambia,0.33143028295346305,1.91,8.7,10.2,0.3402058869632184,0.36874450525110575,0.7089503922143242,2347.696
99,Georgia,0.4962180377012411,7.11,23.3,7.9,2.1087570388229273,4.2576215446403864,6.366378583463312,3996.7619999999997
100,Germany,0.15613854945276667,8.31,25.7,1.0,4.63070616745712,6.736337393925547,11.367043561382664,83517.046
101,Ghana,0.2982452763864152,4.97,9.7,5.5,0.35785557286775427,0.46102523063918577,0.8188808035069399,30417.857999999997
102,Gibraltar,,,,,,,,
103,Greece,0.17569483675492725,4.55,27.4,1.0,4.814267540444163,6.512742885535733,11.327010425979894,10473.452000000001
104,Greenland,0.19994086417724982,2.16,,,,,,
105,Grenada,0.24396394378768774,10.71,20.2,,1.603542793878681,2.374064748843771,3.9776075427224513,112.002
106,Guadeloupe,,,,,3.279106507219133,5.061142662880455,8.340249170099586,400.048
107,Guam,0.3104961493603057,21.52,,,1.450730745091007,2.217041752592726,3.6677724976837327,167.29499999999996
108,Guatemala,0.15589769141045723,10.18,18.8,15.2,0.8660876936612145,1.094674872576113,1.960762566237328,17581.476000000006
109,Guernsey,,,,,,,,
110,Guinea,0.3367168477239913,2.42,6.6,16.5,0.3173065494157734,0.5027387304261463,0.8200452798419199,12771.246000000003
111,Guinea-Bissau,0.3824742521840564,2.42,8.2,28.0,0.25737707563627166,0.46498625396099896,0.7223633295972706,1920.917
112,Guyana,0.3731587564276042,11.62,19.2,8.1,1.0128070007345662,1.3277123055795088,2.3405193063140755,782.7749999999999
113,Haiti,0.4305481444720517,6.65,20.5,49.3,0.7639562858433292,1.0433559064976814,1.807312192341011,11263.079
120,Honduras,0.2402083212875924,7.21,19.4,12.9,0.7990465944635374,1.0602891511130328,1.8593357455765704,9746.115000000002
121,Hong Kong,,8.33,,,,,,
122,Hungary,0.27829609999295085,7.55,28.6,1.0,2.641171417124778,5.515473923764129,8.156645340888907,9684.680000000002
128,Iceland,0.11799213939291359,5.31,23.1,1.0,2.8061833959125404,3.5506449148618002,6.35682831077434,339.03700000000003
129,India,0.28227953642280584,10.39,3.8,14.5,0.932517009827264,1.0968276673945683,2.0293446772218324,1366417.7559999998
130,Indonesia,0.3428636886156254,6.32,6.9,8.3,0.7850078703022175,1.1510401750031254,1.9360480453053424,270625.567
131,Iran,0.27030771954618604,9.59,25.5,4.9,1.1918038874377785,0.9757966617247125,2.167600549162491,82913.893
132,Iraq,0.21861208369367455,8.83,27.4,29.0,0.45872034571337933,0.630756374703512,1.0894767204168916,39309.789000000004
133,Ireland,0.12645861360418353,3.28,26.9,1.0,2.520328733365585,3.1786597762047215,5.698988509570306,4882.498
134,Isle of Man,,,,,,,,
135,Israel,0.09331980672644469,6.74,26.7,1.0,2.038776797306563,2.8786977633213158,4.917474560627879,8519.372999999998
136,Italy,0.11315097657432208,4.78,22.9,1.0,4.664937585891695,7.021094204117806,11.6860317900095,60550.092000000004
137,Jamaica,0.2065372867763469,11.28,24.4,8.0,1.7314519632992422,1.903043709936346,3.6344956732355884,2948.277
138,Japan,0.079370363422442,5.72,4.4,1.0,5.512895724768866,8.52881719914597,14.041712923914835,126860.29899999998
139,Jersey,,,,,,,,
140,Jordan,0.20825675667403615,11.75,33.4,12.2,0.6265778908236903,0.7562986694215833,1.3828765602452735,10101.697
141,Kazakhstan,0.4667918006232961,7.11,21.3,1.0,0.884152961162882,2.0282751279308524,2.912428089093735,18551.428
142,Kenya,0.2186365955638149,2.92,6.0,29.4,0.23238117070374392,0.3857974042552276,0.6181785749589715,52573.967000000004
143,Kiribati,0.43465668565076065,22.66,45.6,2.7,0.34096319978232775,0.8264743894973132,1.1674375892796407,117.60799999999999
144,Kosovo,,,,,,,,
145,Kuwait,0.13223514102481027,15.84,37.0,2.8,0.35544868800832496,0.2567103002868737,0.6121589882951987,4207.077
146,Kyrgyzstan,0.4363624176154257,7.11,15.4,7.1,0.44407203346835816,0.9892997826788683,1.4333718161472266,6415.851000000001
147,Laos,0.3681113892753116,4.0,4.5,16.5,0.5232475099923899,0.7419112412434082,1.265158751235798,7169.456
153,Latvia,0.3500599328888808,4.91,25.7,1.0,2.878892769858502,7.382443332599096,10.261336102457596,1906.74
155,Lebanon,0.2665912645356323,12.71,31.3,11.0,1.167829614705058,1.5102595515649804,2.6780891662700386,6855.709000000001
156,Lesotho,0.40512576201327405,3.94,13.5,13.1,0.47725768103490057,1.1734525591372753,1.6507102401721758,2125.2670000000003
157,Liberia,0.27250932794457966,2.42,8.6,37.2,0.4497329957179666,0.5802882260894151,1.0300212218073819,4937.374000000001
158,Libya,0.34186220081369484,10.43,,,0.7020188852656006,0.9209211779115252,1.6229400631771258,6777.4529999999995
159,Liechtenstein,,7.77,,,,,,
160,Lithuania,0.34298915885033604,3.67,28.4,1.0,3.0920800643274413,7.280248699916762,10.372328764244203,2759.6310000000003
166,Luxembourg,0.12827506093587793,4.42,24.2,1.0,2.6357331947444487,3.8505513780390737,6.486284572783522,615.7300000000002
167,Macao,,,,,,,,
