,Country,Confirmed,Deaths,Recovered,Active,Cardio Death Rate,Diabetes Percentage,Obesity,Undernourished,PopMale,PopFemale,PopTotal,Total Population,Clusters
19,Belgium,0.4557978516249563,0.07436309538356055,0.1162199594673034,0.2652147967740924,0.1148975564319492,4.29,24.5,1.0,3.5583274101104347,5.3893268982954465,8.947654308405879,11539.326,2
20,Belize,0.0046112345043307175,0.0005123593893700797,0.0040988751149606375,0.0,0.17695729782198266,17.11,22.4,7.5,0.9401794794940964,0.9281390338438996,1.868318513337996,390.351,1
21,Benin,0.0024065449209149173,1.69474994430628e-05,0.0005253724827349467,0.001864224938736908,0.2358480671201496,0.99,8.2,10.1,0.4157221613383304,0.6256677844389922,1.0413899457773226,11801.151000000002,0
22,Bosnia and Herzegovina,0.06331418558872197,0.0030899746076792534,0.03208120695619931,0.02814300402484339,0.3296345668060086,10.08,19.4,1.0,2.5725553302364927,4.110393281062273,6.682948611298765,3300.998,1
23,Botswana,0.0009983925879334273,4.340837338840989e-05,0.0005209004806609186,0.0004340837338840988,0.2373720114504477,4.81,16.1,26.4,0.4665097888052411,0.8208089324014423,1.2873187212066837,2303.7029999999995,0
24,Brazil,0.07394520524825267,0.005049052018924526,0.02922773778034529,0.03966841544898286,0.17796058426196984,8.11,22.3,1.0,1.380286490963289,2.0991741753270707,3.4794606662903607,211049.51899999997,1
25,Bulgaria,0.027442398462768545,0.0012856927962775478,0.006028470666990279,0.020128234999500717,0.4246880605796445,5.81,27.4,3.6,3.183903926177233,5.5070650961976755,8.690969022374912,7000.117000000001,1
26,Burkina Faso,0.0036808518396607153,0.00023620439612796035,0.002800006279100197,0.0006446411644325585,0.2690484652620855,2.42,4.5,20.0,0.24376293680405514,0.4088894933971769,0.6526524302012321,20321.383,0
27,Cabo Verde,0.04291408454802015,0.00036367868261034025,0.010183003113089527,0.03236740275232028,0.18221876979242946,2.42,10.6,12.6,0.6860798347444067,1.4034360361933025,2.089515870937709,549.9359999999998,0
28,Cambodia,0.000739997508270685,0.0,0.000727866401577723,1.2131106692962051e-05,0.2708921854211897,4.0,3.5,16.4,0.5148987580294276,0.8268137733188679,1.3417125313482956,16486.542000000005,0
