,Country,Confirmed,Deaths,Recovered,Active,Cardio Death Rate,Diabetes Percentage,Obesity,Undernourished,PopMale,PopFemale,PopTotal,Total Population
58,El Salvador,784,17,276,491,0.1672945015915384,8.87,22.7,9.0,1.4951150916937188,2.073773349551797,3.5688884412455164,6453.55
61,Estonia,1733,60,747,926,0.25556930328316346,4.02,23.8,2.9,2.877458512773743,7.0328571137608815,9.910315626534626,1325.6490000000001
63,Ethiopia,210,5,97,108,0.1826344308509356,7.47,3.6,20.6,0.5171846750186591,0.6129637785768214,1.1301484535954802,112078.727
64,Fiji,18,0,14,4,0.4128204195817586,14.49,30.0,3.7,0.6116039575034693,0.8876853324044472,1.4992892899079169,889.955
65,Finland,5880,265,4000,1615,0.1535066471783443,5.76,24.9,1.0,3.672436023621158,5.6701551781140065,9.342591201735164,5532.159
66,Gabon,661,8,110,543,0.25996669198552064,7.2,13.4,10.5,0.46396493014289936,0.7183631611845466,1.1823280913274459,2172.5780000000004
67,Gambia,20,1,9,10,0.33143028295346305,1.91,8.7,10.2,0.3402058869632184,0.36874450525110575,0.7089503922143242,2347.696
68,Georgia,626,10,297,319,0.4962180377012411,7.11,23.3,7.9,2.1087570388229273,4.2576215446403864,6.366378583463312,3996.7619999999997
69,Germany,171324,7549,143300,20475,0.15613854945276667,8.31,25.7,1.0,4.63070616745712,6.736337393925547,11.367043561382664,83517.046
70,Ghana,4263,22,378,3863,0.2982452763864152,4.97,9.7,5.5,0.35785557286775427,0.46102523063918577,0.8188808035069399,30417.857999999997
71,Greece,2710,151,1374,1185,0.17569483675492725,4.55,27.4,1.0,4.814267540444163,6.512742885535733,11.327010425979894,10473.452000000001
73,Guatemala,967,24,104,839,0.15589769141045723,10.18,18.8,15.2,0.8660876936612145,1.094674872576113,1.960762566237328,17581.476000000006
74,Guinea,2042,11,698,1333,0.3367168477239913,2.42,6.6,16.5,0.3173065494157734,0.5027387304261463,0.8200452798419199,12771.246000000003
75,Guinea-Bissau,641,3,25,613,0.3824742521840564,2.42,8.2,28.0,0.25737707563627166,0.46498625396099896,0.7223633295972706,1920.917
76,Guyana,94,10,35,49,0.3731587564276042,11.62,19.2,8.1,1.0128070007345662,1.3277123055795088,2.3405193063140755,782.7749999999999
77,Haiti,151,12,17,122,0.4305481444720517,6.65,20.5,49.3,0.7639562858433292,1.0433559064976814,1.807312192341011,11263.079
79,Honduras,1830,108,195,1527,0.2402083212875924,7.21,19.4,12.9,0.7990465944635374,1.0602891511130328,1.8593357455765704,9746.115000000002
80,Hungary,3213,405,904,1904,0.27829609999295085,7.55,28.6,1.0,2.641171417124778,5.515473923764129,8.156645340888907,9684.680000000002
81,Iceland,1801,10,1773,18,0.11799213939291359,5.31,23.1,1.0,2.8061833959125404,3.5506449148618002,6.35682831077434,339.03700000000003
82,India,62808,2101,19301,41406,0.28227953642280584,10.39,3.8,14.5,0.932517009827264,1.0968276673945683,2.0293446772218324,1366417.7559999998
83,Indonesia,13645,959,2607,10079,0.3428636886156254,6.32,6.9,8.3,0.7850078703022175,1.1510401750031254,1.9360480453053424,270625.567
84,Iran,106220,6589,85064,14567,0.27030771954618604,9.59,25.5,4.9,1.1918038874377785,0.9757966617247125,2.167600549162491,82913.893
85,Iraq,2679,107,1702,870,0.21861208369367455,8.83,27.4,29.0,0.45872034571337933,0.630756374703512,1.0894767204168916,39309.789000000004
86,Ireland,22760,1446,17110,4204,0.12645861360418353,3.28,26.9,1.0,2.520328733365585,3.1786597762047215,5.698988509570306,4882.498
87,Israel,16454,247,11376,4831,0.09331980672644469,6.74,26.7,1.0,2.038776797306563,2.8786977633213158,4.917474560627879,8519.372999999998
88,Italy,218268,30395,103031,84842,0.11315097657432208,4.78,22.9,1.0,4.664937585891695,7.021094204117806,11.6860317900095,60550.092000000004
89,Jamaica,490,9,62,419,0.2065372867763469,11.28,24.4,8.0,1.7314519632992422,1.903043709936346,3.6344956732355884,2948.277
90,Japan,15663,607,5906,9150,0.079370363422442,5.72,4.4,1.0,5.512895724768866,8.52881719914597,14.041712923914835,126860.29899999998
91,Jordan,522,9,387,126,0.20825675667403615,11.75,33.4,12.2,0.6265778908236903,0.7562986694215833,1.3828765602452735,10101.697
92,Kazakhstan,4975,31,1776,3168,0.4667918006232961,7.11,21.3,1.0,0.884152961162882,2.0282751279308524,2.912428089093735,18551.428
93,Kenya,649,30,207,412,0.2186365955638149,2.92,6.0,29.4,0.23238117070374392,0.3857974042552276,0.6181785749589715,52573.967000000004
96,Kuwait,7623,49,2622,4952,0.13223514102481027,15.84,37.0,2.8,0.35544868800832496,0.2567103002868737,0.6121589882951987,4207.077
97,Kyrgyzstan,931,12,658,261,0.4363624176154257,7.11,15.4,7.1,0.44407203346835816,0.9892997826788683,1.4333718161472266,6415.851000000001
98,Laos,19,0,13,6,0.3681113892753116,4.0,4.5,16.5,0.5232475099923899,0.7419112412434082,1.265158751235798,7169.456
99,Latvia,930,18,464,448,0.3500599328888808,4.91,25.7,1.0,2.878892769858502,7.382443332599096,10.261336102457596,1906.74
100,Lebanon,809,26,234,549,0.2665912645356323,12.71,31.3,11.0,1.167829614705058,1.5102595515649804,2.6780891662700386,6855.709000000001
101,Liberia,199,20,79,100,0.27250932794457966,2.42,8.6,37.2,0.4497329957179666,0.5802882260894151,1.0300212218073819,4937.374000000001
